tissue,AD_level,method,name,log2FC,FDR
MSBB_BM22,AD_likely,DESeq2 prefilter,NC_012959.1_region_1_34920__ID=id0,0.16535295682869225,0.7409152791660748
MSBB_BM22,AD_possible,voom+limma no prefilter,NC_001716.2_region_1_153080__ID=id0,1.2314132025388869,0.005913945311855927
MSBB_BM22,AD_possible,voom+limma no prefilter,NC_002645.1_region_1_27317__ID=id0,-0.8310280008416195,0.00863381436081794
MSBB_BM22,AD_possible,voom+limma no prefilter,NC_001798.2_region_1_154675__ID=id0,-0.525688155211899,0.03779563142150359
MSBB_BM22,AD_possible,voom+limma no prefilter,NC_006273.2_region_1_235646__ID=id0,0.5420964177093435,0.04717491934470265
MSBB_BM22,AD_possible,voom+limma no prefilter,NC_000898.1_region_1_162114__ID=id0,0.5265713621977595,0.04066803885080566
MSBB_BM22,AD_possible,voom+limma no prefilter,NC_001664.2_region_1_159322__ID=id0,0.3490392465809622,0.06059926499122298
MSBB_BM22,AD_possible,voom+limma no prefilter,NC_001806.2_region_1_152222__ID=id0,0.4185031503956156,0.10074344433538712
MSBB_BM22,AD_possible,voom+limma no prefilter,NC_009823.1_region_1_9711__ID=id0,-0.1976347860147073,0.14354993028052546
MSBB_BM22,AD_possible,voom+limma no prefilter,NC_001611.1_region_1_185578__ID=id0,-0.17868827409901034,0.28978208977873937
MSBB_BM22,AD_possible,voom+limma no prefilter,NC_009825.1_region_1_9355__ID=id0,0.18022749107429048,0.28978208977873937
MSBB_BM22,AD_possible,voom+limma no prefilter,NC_001460.1_region_1_34125__ID=id0,0.19537805362147642,0.28978208977873937
MSBB_BM22,AD_possible,voom+limma no prefilter,NC_009333.1_region_1_137969__ID=id0,-0.052029004274953494,0.6709951475819456
MSBB_BM22,AD_possible,voom+limma no prefilter,NC_001405.1_region_1_35937__ID=id0,-0.07058010267534476,0.6641696036751729
MSBB_BM22,AD_possible,voom+limma no prefilter,NC_012959.1_region_1_34920__ID=id0,0.09989711681355828,0.6641696036751729
MSBB_BM22,AD_possible,voom+limma prefilter,NC_002645.1_region_1_27317__ID=id0,-0.5338899461933602,0.1554344628230116
MSBB_BM22,AD_possible,voom+limma prefilter,NC_001806.2_region_1_152222__ID=id0,0.35905757426921747,0.43154357334110915
MSBB_BM22,AD_possible,voom+limma prefilter,NC_006273.2_region_1_235646__ID=id0,0.33936428059223456,0.43154357334110915
MSBB_BM22,AD_possible,voom+limma prefilter,NC_009823.1_region_1_9711__ID=id0,-0.19570603925836105,0.43154357334110915
MSBB_BM22,AD_possible,voom+limma prefilter,NC_009825.1_region_1_9355__ID=id0,0.19285336230657046,0.45662492706179353
MSBB_BM22,AD_possible,voom+limma prefilter,NC_001611.1_region_1_185578__ID=id0,-0.18249636496514343,0.45662492706179353
MSBB_BM22,AD_possible,voom+limma prefilter,NC_001460.1_region_1_34125__ID=id0,0.1988593647528536,0.45662492706179353
MSBB_BM22,AD_possible,voom+limma prefilter,NC_001798.2_region_1_154675__ID=id0,-0.14550529245199018,0.7874443518600727
MSBB_BM22,AD_possible,voom+limma prefilter,NC_001664.2_region_1_159322__ID=id0,-0.12133348296892699,0.821216207382489
MSBB_BM22,AD_possible,voom+limma prefilter,NC_000898.1_region_1_162114__ID=id0,0.06823389434664762,0.8919085711619354
MSBB_BM22,AD_possible,voom+limma prefilter,NC_001716.2_region_1_153080__ID=id0,0.003511453070803139,0.986288565942895
MSBB_BM22,AD_possible,voom+limma prefilter,NC_012959.1_region_1_34920__ID=id0,0.02856248172803877,0.9643312587643612
MSBB_BM22,AD_possible,voom+limma prefilter,NC_001405.1_region_1_35937__ID=id0,-0.059192137376051335,0.8919085711619354
MSBB_BM22,AD_possible,voom+limma prefilter,NC_009333.1_region_1_137969__ID=id0,-0.04367803283841698,0.8919085711619354
MSBB_BM22,AD_possible,edgeR prefilter,NC_001806.2_region_1_152222__ID=id0,0.4018127954662107,0.37652986061671323
MSBB_BM22,AD_possible,edgeR prefilter,NC_001460.1_region_1_34125__ID=id0,0.3578440719001127,0.37652986061671323
MSBB_BM22,AD_possible,edgeR prefilter,NC_006273.2_region_1_235646__ID=id0,0.42896871383720986,0.37652986061671323
MSBB_BM22,AD_possible,edgeR prefilter,NC_009333.1_region_1_137969__ID=id0,-0.2253879840785798,0.37652986061671323
MSBB_BM22,AD_possible,edgeR prefilter,NC_002645.1_region_1_27317__ID=id0,-0.3390297249317535,0.37652986061671323
MSBB_BM22,AD_possible,edgeR prefilter,NC_001405.1_region_1_35937__ID=id0,-0.14870204542332227,0.4308083076818218
MSBB_BM22,AD_possible,edgeR prefilter,NC_001611.1_region_1_185578__ID=id0,-0.19638074968358518,0.4308083076818218
MSBB_BM22,AD_possible,edgeR prefilter,NC_000898.1_region_1_162114__ID=id0,0.5547911853907469,0.4308083076818218
MSBB_BM22,AD_possible,edgeR prefilter,NC_009823.1_region_1_9711__ID=id0,-0.13004845503639667,0.4308083076818218
MSBB_BM22,AD_possible,edgeR prefilter,NC_009825.1_region_1_9355__ID=id0,0.12740746337899395,0.5885483148159875
MSBB_BM22,AD_possible,edgeR prefilter,NC_001716.2_region_1_153080__ID=id0,0.16163818429586244,0.8181615921198615
MSBB_BM22,AD_possible,edgeR prefilter,NC_001798.2_region_1_154675__ID=id0,-0.03666628015881978,0.9643075710341164
MSBB_BM22,AD_possible,edgeR prefilter,NC_012959.1_region_1_34920__ID=id0,0.009854158074080709,0.9643075710341164
MSBB_BM22,AD_possible,edgeR prefilter,NC_001664.2_region_1_159322__ID=id0,-0.015901803410307006,0.9643075710341164
MSBB_BM22,AD_possible,edgeR no prefilter,NC_001806.2_region_1_152222__ID=id0,0.4353071705301356,0.2756147707181223
MSBB_BM22,AD_possible,edgeR no prefilter,NC_001460.1_region_1_34125__ID=id0,0.3954206668186911,0.2756147707181223
MSBB_BM22,AD_possible,edgeR no prefilter,NC_006273.2_region_1_235646__ID=id0,0.4368367099697353,0.3986625923737033
MSBB_BM22,AD_possible,edgeR no prefilter,NC_002645.1_region_1_27317__ID=id0,-0.30489632585070114,0.47981406541073685
